TIME,GEO,AIRPOL,AIRSECT,Tonnes
1990,Czechia,Particulates_lt_10mcg,Industrial_processes,
1990,Czechia,Particulates_lt_10mcg,Agriculture,
1990,Czechia,Particulates_lt_10mcg,Waste,
1990,Czechia,Particulates_lt_10mcg,Other,
1990,Czechia,Sulphur_oxides,Total_all_sectors,1754730.0
1990,Czechia,Sulphur_oxides,Energy_prod_distrib,1204944.0
1990,Czechia,Sulphur_oxides,Energy_use_industry,345604.0
1990,Czechia,Sulphur_oxides,Road_transport,7506.0
1990,Czechia,Sulphur_oxides,Non-road_transport,793.0
1990,Czechia,Sulphur_oxides,Commercial_institutes_houses,182930.0
1990,Czechia,Sulphur_oxides,Industrial_processes,12534.0
1990,Czechia,Sulphur_oxides,Agriculture,0.0
1990,Czechia,Sulphur_oxides,Waste,420.0
1990,Czechia,Sulphur_oxides,Other,0.0
1990,Czechia,Nitrogen_oxides,Total_all_sectors,811782.0
1990,Czechia,Nitrogen_oxides,Energy_prod_distrib,346945.0
1990,Czechia,Nitrogen_oxides,Energy_use_industry,138222.0
1990,Czechia,Nitrogen_oxides,Road_transport,219534.0
1990,Czechia,Nitrogen_oxides,Non-road_transport,10790.0
1990,Czechia,Nitrogen_oxides,Commercial_institutes_houses,93544.0
1990,Czechia,Nitrogen_oxides,Industrial_processes,2303.0
1990,Czechia,Nitrogen_oxides,Agriculture,0.0
1990,Czechia,Nitrogen_oxides,Waste,443.0
1990,Czechia,Nitrogen_oxides,Other,0.0
1990,Germany,Ammonia,Total_all_sectors,742758.0
1990,Germany,Ammonia,Energy_prod_distrib,4496.0
1990,Germany,Ammonia,Energy_use_industry,2275.0
1990,Germany,Ammonia,Road_transport,1126.0
1990,Germany,Ammonia,Non-road_transport,139.0
1990,Germany,Ammonia,Commercial_institutes_houses,3887.0
1990,Germany,Ammonia,Industrial_processes,19085.0
1990,Germany,Ammonia,Agriculture,711589.0
1990,Germany,Ammonia,Waste,161.0
1990,Germany,Ammonia,Other,0.0
1990,Germany,Non-methane_VOCs,Total_all_sectors,3401645.0
1990,Germany,Non-methane_VOCs,Energy_prod_distrib,215364.0
1990,Germany,Non-methane_VOCs,Energy_use_industry,16765.0
1990,Germany,Non-methane_VOCs,Road_transport,1168550.0
1990,Germany,Non-methane_VOCs,Non-road_transport,9417.0
1990,Germany,Non-methane_VOCs,Commercial_institutes_houses,465233.0
1990,Germany,Non-methane_VOCs,Industrial_processes,1247129.0
