boosting_type,class_weight,colsample_bytree,learning_rate,min_child_samples,num_leaves,reg_alpha,reg_lambda,subsample_for_bin,subsample,loss,iteration
dart,,0.8159894495141962,0.010192151667812665,280,84,0.31150249692589327,0.5512228233517331,280000,0.7237833548862819,0.2240268129402956,61
dart,balanced,0.6953142519047203,0.043069458473925466,345,122,0.2528193556813674,0.5181239665822124,120000,0.6077019643066789,0.22413060285827835,33
dart,,0.9503871040793702,0.01283041198908007,340,111,0.062459765457203255,0.5613914454093945,220000,0.9452696415514023,0.22415452024719704,69
dart,balanced,0.9967456870428932,0.027582700908491135,325,150,0.07749150201660074,0.31737331189884843,160000,0.5345453668224367,0.22419543276214185,23
dart,balanced,0.8415330281542703,0.08151850793858142,270,146,0.1322708196800382,0.47607889354418753,220000,0.5970128646259429,0.22425029283494424,39
dart,balanced,0.7979365327176678,0.03451307019805864,370,92,0.3508948789277145,0.9025064264804086,220000,0.6697139510220675,0.22456758587117687,90
dart,,0.8550796981135899,0.01771360917432115,355,135,9.260725785056531e-05,0.6208618464392441,280000,0.8110078346309593,0.22461203184091685,67
goss,balanced,0.7630935635990631,0.014425725436173981,250,139,0.3790555216408429,0.6341903475544488,240000,1.0,0.2246527109695624,35
dart,,0.8640046420965072,0.015793132653078048,265,140,0.17871561127135502,0.6493719886697098,280000,0.7285736160668318,0.2247381747822993,70
gbdt,,0.620649129448606,0.017934544496484815,260,30,0.2092981310373776,0.8946886330215067,20000,0.8731487506937664,0.22481571717933704,5
dart,balanced,0.8033430936772593,0.1248114710084406,275,101,0.6380163398423532,0.0025853935943769835,140000,0.6537095969797567,0.22485155081579689,28
dart,,0.8800178217390703,0.07144614378577485,295,115,0.032487273435009026,0.7049357424173858,300000,0.8641862118074686,0.22497052071594412,65
dart,balanced,0.9272293232582869,0.015473838807695546,360,78,0.12817703867104124,0.38778989283191184,180000,0.5634634584881959,0.2259090034166238,46
dart,balanced,0.7876765743349301,0.022064050826738495,215,128,0.3714589226763781,0.745429900984304,260000,0.5637598706831566,0.22608296179221765,58
dart,balanced,0.743811387313867,0.09812251334470362,385,80,0.9176188250102773,0.6133729705501293,240000,0.5841648291555028,0.2261798646331912,95
dart,,0.6768871012822094,0.09941449136208809,280,122,0.10724199753228558,0.9359331754558249,140000,0.6626738189395159,0.2264600463778642,77
gbdt,,0.6220082377595529,0.03565154266775181,225,70,0.41007410794253185,0.45276116373350317,280000,0.7661806376140439,0.2264667168292233,15
dart,,0.9158854815224735,0.013856288731317343,370,142,0.0848162237973738,0.35902990968069276,300000,0.8183760970521982,0.2269843179904745,71
gbdt,balanced,0.9914063449142271,0.07887453278143589,330,114,0.9332452168906227,0.4751254398174696,120000,0.9515375478294208,0.22733132909261355,54
dart,,0.92202306152467,0.03875974573618431,395,97,0.49655184796558194,0.4243648096987737,300000,0.7816234428753367,0.22746347320737906,62
goss,balanced,0.8322200705954192,0.09899324550583567,305,81,0.523800325365199,0.3435076037810059,200000,1.0,0.22747665821310026,32
gbdt,balanced,0.9369872030328691,0.12361767558683567,345,147,0.07180219153289136,0.8521574587104481,180000,0.9952798916387637,0.22751849130095916,24
dart,,0.8259767056058013,0.011283575456254614,240,132,0.020120886101868983,0.46032641404698743,240000,0.7663274242318148,0.22798167321743998,73
dart,balanced,0.6077910448089742,0.08783831758750019,230,44,0.16571225625681618,0.43702345115978314,120000,0.9699110051642057,0.2280558614182692,6
goss,,0.8756248925310297,0.0482119896563554,225,100,0.23525241913024778,0.871175173368141,120000,1.0,0.2283980704796316,83
gbdt,balanced,0.7104545987853295,0.10622329864313826,195,75,0.2217527545210983,0.06282309995563357,280000,0.5964121503431347,0.22842665479094315,40
gbdt,balanced,0.9700079519544123,0.04583424740391284,245,57,0.037020459073154904,0.4037542657630825,200000,0.8336164937651969,0.22867655274040175,42
gbdt,balanced,0.9043357214594399,0.023798341224930544,390,122,0.6888582090360323,0.7849625767809733,180000,0.945466050871659,0.2287924203132731,37
gbdt,balanced,0.9542806700134129,0.0259980160860404,380,128,0.26555717693944314,0.8252974253035471,100000,0.8925764313636542,0.2288850302468873,27
dart,,0.8977790417329976,0.1390511726480853,255,89,0.5972913861706705,0.6689525080783432,40000,0.6945628982417943,0.22894248667051986,64
dart,,0.8080301051233937,0.037150588311358014,180,93,0.1491289982071064,0.8634228322888908,220000,0.8708203067264881,0.2291630874644832,74
goss,balanced,0.8604059584835744,0.018675872988718433,170,126,0.5985119228590867,0.5845451820124326,300000,1.0,0.2292558415855997,1
gbdt,balanced,0.9392915213784527,0.05669942257156856,500,105,0.5429751082688232,0.07822858254952351,160000,0.636840279699153,0.2292673818665251,34
dart,,0.7312869972360797,0.06882655733218156,215,150,0.30247729462135614,0.9571558863860337,100000,0.6257328021126182,0.22928727095970255,82
dart,balanced,0.8194877060586099,0.1568201412182184,375,89,0.10513433550648844,0.15196710026128774,240000,0.781838605485306,0.2293570994401737,29
dart,balanced,0.6621942819319291,0.13383246194192813,305,116,0.7169284506547386,0.9984595183191955,200000,0.9066892590254148,0.2295678243086308,88
gbdt,balanced,0.9966115007527432,0.07217284961301895,375,138,0.4497362667542732,0.9352394803671893,260000,0.7993395057022022,0.2296259398505304,31
dart,,0.7412329486791475,0.09009316486617515,160,145,0.4336766037134947,0.2730042433446864,240000,0.8369241638682806,0.2296266398946292,55
goss,,0.9360304718612809,0.027364504368541157,390,118,0.2711083269376671,0.410570027426198,180000,1.0,0.2300367411796912,75
dart,,0.8536451895837122,0.019312347539552403,175,112,0.7926928706035059,0.37338116932867904,200000,0.8951244781172872,0.23033495003570134,7
goss,,0.6944344835951997,0.061273013684793355,475,109,0.059520369262179684,0.7488315585093646,160000,1.0,0.2304706257684785,79
gbdt,,0.9670612492692773,0.12616305214746745,350,90,0.004177684827386541,0.15710502450188188,80000,0.9905624746719305,0.230618704726014,21
gbdt,,0.8807567286747171,0.040483587895146805,200,118,0.19438250603303897,0.9086525817671995,80000,0.9464242765753911,0.2307644719767572,48
dart,balanced,0.8696879685003723,0.03229395245020296,195,109,0.15620464812567775,0.21569063177782033,100000,0.8124546144301208,0.2308044642057855,36
dart,balanced,0.9124225863241522,0.019199675385015214,225,102,0.1916434813532829,0.6896940625642513,200000,0.7560708555481161,0.2309414924999884,14
